URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
http://hl7.org/fhir/ValueSet/administrative-gender,4.0.1,active,"2.16.840.1.113883.4.642.3.1",AdministrativeGender,AdministrativeGender,"The gender of a person used for administrative purposes.","ConceptMap/ASS-A33-AdministrativeGender-Sexe","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/designation-use,4.0.1,active,"2.16.840.1.113883.4.642.3.264",DesignationUse,Designation Use,"Details of how a designation would be used",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV-MediaTypeCorpsCDANonStructure?vs,1.1.0,active,,JDV_TRE_R222_MediaTypeCorpsCDANonStructure,JDV-MediaTypeCorpsCDANonStructure,"JDV avec l'ensemble des codes actifs de la TRE_R222_MediaTypeCorpsCDANonStructure","ConceptMap/ASS-A12-CorresMediaTypeCDANonStructure-XdsFormatCode-CISIS","Internal"
https://mos.esante.gouv.fr/NOS/JDV-ModeleDocumentCDA,1.1.0,active,,JDV_ModeleDocumentCDA,JDV-ModeleDocumentCDA,"JDV avec l'ensemble des codes  de la TRE_R220_ModeleDocumentCDAStructure et TRE_R221_ModeleDocumentCDANonStructure","ConceptMap/ASS-A11-CorresModeleCDA-XdsFormatCode-CISIS","Internal"
https://mos.esante.gouv.fr/NOS/JDV_J01-XdsAuthorSpecialty-CISIS/FHIR/JDV-J01-XdsAuthorSpecialty-CISIS,20240329120000,active,"1.2.250.1.213.1.1.5.461",JDV_J01_XdsAuthorSpecialty_CISIS,null,"XDS authorSpecialty CI-SIS",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J02-XdsHealthcareFacilityTypeCode-CISIS/FHIR/JDV-J02-XdsHealthcareFacilityTypeCode-CISIS,20240927120000,active,"1.2.250.1.213.1.1.5.466",JDV_J02_XdsHealthcareFacilityTypeCode_CISIS,null,"XDS healthcareFacilityTypeCode CI-SIS",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J03-XdsContentTypeCode-CISIS/FHIR/JDV-J03-XdsContentTypeCode-CISIS,20240726120000,active,"1.2.250.1.213.1.1.5.464",JDV_J03_XdsContentTypeCode_CISIS,null,"XDS contentTypeCode CI-SIS",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J04-XdsPracticeSettingCode-CISIS/FHIR/JDV-J04-XdsPracticeSettingCode-CISIS,20240927120000,active,"1.2.250.1.213.1.1.5.467",JDV_J04_XdsPracticeSettingCode_CISIS,null,"XDS practiceSettingCode CI-SIS",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J05-SubjectRole-CISIS/FHIR/JDV-J05-SubjectRole-CISIS,20240628120000,active,"1.2.250.1.213.1.1.5.470",JDV_J05_SubjectRole_CISIS,null,"subjectRole CI-SIS",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J06-XdsClassCode-CISIS/FHIR/JDV-J06-XdsClassCode-CISIS,20230922120000,active,"1.2.250.1.213.1.1.5.462",JDV_J06_XdsClassCode_CISIS,null,"XDS classCode CI-SIS","ConceptMap/ASS-X04-CorrespondanceType-Classe-CISIS","Internal"
https://mos.esante.gouv.fr/NOS/JDV_J07-XdsTypeCode-CISIS/FHIR/JDV-J07-XdsTypeCode-CISIS,20240927120000,active,"1.2.250.1.213.1.1.5.471",JDV_J07_XdsTypeCode_CISIS,null,"XDS typeCode CI-SIS","ConceptMap/ASS-X04-CorrespondanceType-Classe-CISIS","Internal"
https://mos.esante.gouv.fr/NOS/JDV_J08-XdsConfidentialityCode-CISIS/FHIR/JDV-J08-XdsConfidentialityCode-CISIS,20200424120000,active,"1.2.250.1.213.1.1.5.463",JDV_J08_XdsConfidentialityCode_CISIS,null,"XDS confidentialityCode - CI-SIS",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J10-XdsFormatCode-CISIS/FHIR/JDV-J10-XdsFormatCode-CISIS,1.1.0,active,"1.2.250.1.213.1.1.5.465",JDV_J10_XdsFormatCode_CISIS,JDV_J10_XdsFormatCode_CISIS,"XDS formatCode documents CI-SIS","ConceptMap/ASS-A11-CorresModeleCDA-XdsFormatCode-CISIS,ConceptMap/ASS-A12-CorresMediaTypeCDANonStructure-XdsFormatCode-CISIS","Internal"
https://mos.esante.gouv.fr/NOS/JDV_J100-FinessStatutJuridique-RASS/FHIR/JDV-J100-FinessStatutJuridique-RASS,20200424120000,active,"1.2.250.1.213.1.6.1.168",JDV_J100_FinessStatutJuridique_RASS,null,"Statut juridique FINESS dans le RASS",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J101-SecteurActivite-RASS/FHIR/JDV-J101-SecteurActivite-RASS,20240726120000,active,"1.2.250.1.213.1.6.1.169",JDV_J101_SecteurActivite_RASS,null,"Secteurs d'activité des établissements avec la même activité dans le RASS",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J103-TypeVoie-RASS/FHIR/JDV-J103-TypeVoie-RASS,20200424120000,active,"1.2.250.1.213.1.6.1.171",JDV_J103_TypeVoie_RASS,null,"Type de voie du professionnel du RASS",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J104-TypeIdentifiantStructure-RASS/FHIR/JDV-J104-TypeIdentifiantStructure-RASS,20200424120000,active,"1.2.250.1.213.1.6.1.172",JDV_J104_TypeIdentifiantStructure_RASS,null,"Type d'identifiant national de structure dans le RASS",,"Internal"
